"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"High income","HIC","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1132075471698","88.1132075471698","86.5818181818182","85","82.7844827586207","77.8362068965517","74.0948275862069","71.3474137931035","70.198275862069","67.8898305084746","65.7203389830509","","",
"Hong Kong SAR, China","HKG","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","93","43","41","38","38","28","27","27","24","24","","",
"Honduras","HND","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","39","39","39","39","39","39","39","39","","",
"Heavily indebted poor countries (HIPC)","HPC","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161.973684210526","136.131578947368","131.552631578947","128.105263157895","121.342105263158","116.210526315789","112.783783783784","111.837837837838","110.702702702703","109.216216216216","107.864864864865","","",
"Croatia","HRV","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","70","70","70","70","70","65","65","65","65","","",
"Haiti","HTI","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","66","66","60","60","60","60","60","60","60","60","","",
"Hungary","HUN","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","252","252","252","252","252","252","252","257","257","257","257","","",
"IBRD only","IBD","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.016393442623","104.967213114754","104.967213114754","103.661290322581","99.5230882352941","99.3692647058823","93.4851470588235","90.6767647058824","87.5491176470588","82.5426470588235","80.4076470588235","","",
"IDA & IBRD total","IBT","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122.3515625","114.1796875","112.484375","111.328244274809","112.573357142857","107.212928571429","99.0917518248175","97.1870802919708","94.7469343065693","91.0896350364964","88.7199270072993","","",
"IDA total","IDA","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137.223880597015","122.567164179104","119.328358208955","118.217391304348","124.898611111111","114.620833333333","104.617101449275","103.603043478261","101.840434782609","99.5127536231884","96.9117391304348","","",
"IDA blend","IDB","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.0769230769231","78.0769230769231","79.9230769230769","76.4615384615385","89.076","89.076","85.4426666666667","86.6193333333333","86.5526666666667","84.2786666666667","80.63","","",
"Indonesia","IDN","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.8","81.34","79","57.68","34","34","32.24","","",
"IDA only","IDX","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","151.462962962963","133.277777777778","128.814814814815","127.910714285714","134.325614035088","121.343157894737","109.943333333333","108.320740740741","106.087037037037","103.744444444444","101.434444444444","","",
"Isle of Man","IMN","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.61","115.61","100.02","59.21","59.21","54.97","52.85","","",
"Not classified","INX","Time required to get electricity (days)","IC.ELC.TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
